epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5647.49,0.98349,0.94798,1.18593,0.79786,0.73924,0.80167,0.59905,0.95362,1.15472,1.09841,0.0019176,0.0019176,0.0019176
43,5782.37,0.97542,0.93466,1.18117,0.7999,0.73895,0.80269,0.60034,0.95207,1.14801,1.09711,0.0018912,0.0018912,0.0018912
44,5915.07,0.98248,0.9363,1.18215,0.80316,0.73756,0.80389,0.60116,0.95058,1.1409,1.09574,0.0018648,0.0018648,0.0018648
45,6049.74,0.97372,0.93121,1.17825,0.80331,0.74049,0.80511,0.60276,0.9491,1.13487,1.0945,0.0018384,0.0018384,0.0018384
46,6184.24,0.97427,0.92948,1.1774,0.80323,0.7414,0.80641,0.60386,0.94704,1.13041,1.09286,0.001812,0.001812,0.001812
47,6323.97,0.97468,0.92309,1.17569,0.80464,0.74237,0.8075,0.60524,0.94596,1.12725,1.09185,0.0017856,0.0017856,0.0017856
48,6463.77,0.96603,0.91821,1.17234,0.80593,0.74395,0.80852,0.60638,0.94363,1.12395,1.09004,0.0017592,0.0017592,0.0017592
49,6605.99,0.96795,0.91409,1.1734,0.81587,0.73812,0.809,0.60788,0.94175,1.12241,1.08886,0.0017328,0.0017328,0.0017328
50,6745.34,0.96228,0.9076,1.17192,0.81904,0.73825,0.8101,0.60895,0.94048,1.12035,1.08779,0.0017064,0.0017064,0.0017064
51,6880.38,0.96143,0.90456,1.17068,0.81823,0.7414,0.81093,0.60985,0.93924,1.1171,1.08674,0.00168,0.00168,0.00168
52,7015.48,0.9602,0.90672,1.16911,0.81132,0.74622,0.81152,0.61098,0.93788,1.11165,1.08572,0.0016536,0.0016536,0.0016536
53,7150.64,0.95608,0.89254,1.16642,0.80877,0.75161,0.81223,0.61176,0.93639,1.10843,1.08452,0.0016272,0.0016272,0.0016272
54,7285.11,0.95275,0.89413,1.16559,0.81268,0.74854,0.81308,0.61291,0.93441,1.10498,1.08284,0.0016008,0.0016008,0.0016008
55,7419.89,0.95291,0.88876,1.16418,0.81843,0.74876,0.81383,0.61386,0.93308,1.10181,1.08184,0.0015744,0.0015744,0.0015744
56,7555.72,0.94927,0.88186,1.16143,0.82129,0.74797,0.81474,0.61468,0.93206,1.09918,1.08082,0.001548,0.001548,0.001548
57,7689.12,0.94865,0.87904,1.16212,0.82316,0.74787,0.81541,0.61553,0.93172,1.09559,1.08066,0.0015216,0.0015216,0.0015216
58,7824.91,0.9478,0.87717,1.16242,0.82142,0.74874,0.81609,0.61623,0.93084,1.09286,1.08008,0.0014952,0.0014952,0.0014952
59,7959.8,0.94577,0.87735,1.16197,0.82445,0.74803,0.81643,0.61761,0.93002,1.09131,1.07961,0.0014688,0.0014688,0.0014688
60,8093.59,0.9429,0.86966,1.15804,0.81896,0.75502,0.81715,0.61855,0.92896,1.08986,1.07877,0.0014424,0.0014424,0.0014424
61,8229.78,0.93735,0.86321,1.15616,0.81893,0.75703,0.81769,0.61898,0.92795,1.08887,1.07809,0.001416,0.001416,0.001416
62,8364.26,0.93941,0.86076,1.15508,0.82021,0.75911,0.81847,0.61963,0.92744,1.08768,1.07774,0.0013896,0.0013896,0.0013896
63,8499.83,0.93336,0.85549,1.15299,0.82082,0.75937,0.81908,0.62006,0.92628,1.08599,1.07674,0.0013632,0.0013632,0.0013632
64,8635.33,0.9372,0.8554,1.15456,0.82238,0.7588,0.81937,0.62081,0.92503,1.08278,1.07559,0.0013368,0.0013368,0.0013368
65,8769.58,0.93191,0.84711,1.15107,0.83043,0.75721,0.82013,0.62149,0.92407,1.07991,1.07502,0.0013104,0.0013104,0.0013104
66,8905,0.92757,0.84707,1.14952,0.83086,0.75796,0.82111,0.6221,0.92325,1.07704,1.07427,0.001284,0.001284,0.001284
67,9040.2,0.92682,0.84362,1.15019,0.83197,0.75851,0.82173,0.62284,0.92271,1.07182,1.07393,0.0012576,0.0012576,0.0012576
68,9174.26,0.92594,0.84131,1.14803,0.83284,0.75857,0.82224,0.62348,0.92218,1.06893,1.07362,0.0012312,0.0012312,0.0012312
69,9310.05,0.92533,0.83748,1.14703,0.83233,0.75831,0.82223,0.62382,0.92159,1.06763,1.07314,0.0012048,0.0012048,0.0012048
70,9448.95,0.9212,0.8362,1.1451,0.8348,0.75804,0.8225,0.62402,0.92074,1.06416,1.07248,0.0011784,0.0011784,0.0011784
71,9580.78,0.91925,0.82917,1.14394,0.83591,0.75771,0.82251,0.62458,0.92079,1.06125,1.07275,0.001152,0.001152,0.001152
72,9714.13,0.91783,0.82975,1.14487,0.83561,0.75889,0.82299,0.62465,0.92046,1.06142,1.07231,0.0011256,0.0011256,0.0011256
73,9849.21,0.91723,0.82867,1.14411,0.837,0.7585,0.82323,0.62503,0.91959,1.05871,1.07178,0.0010992,0.0010992,0.0010992
74,9983.98,0.91934,0.82224,1.14434,0.83812,0.75774,0.82357,0.62512,0.91877,1.05757,1.07114,0.0010728,0.0010728,0.0010728
75,10119.2,0.91281,0.81791,1.14197,0.83712,0.75833,0.82398,0.62512,0.91768,1.05622,1.07019,0.0010464,0.0010464,0.0010464
76,10251.1,0.91255,0.81924,1.13975,0.83596,0.76016,0.82391,0.62548,0.91721,1.05426,1.06973,0.00102,0.00102,0.00102
77,10382.7,0.91002,0.81359,1.14021,0.83381,0.76181,0.82467,0.62574,0.91691,1.05179,1.0696,0.0009936,0.0009936,0.0009936
78,10517,0.90676,0.81159,1.13846,0.83364,0.76172,0.82494,0.6258,0.91677,1.05015,1.06939,0.0009672,0.0009672,0.0009672
79,10651.4,0.90547,0.81049,1.13669,0.8332,0.76283,0.82482,0.62639,0.91618,1.04708,1.06895,0.0009408,0.0009408,0.0009408
80,10786.3,0.90844,0.8037,1.13848,0.83189,0.7632,0.82506,0.62712,0.91606,1.04548,1.06889,0.0009144,0.0009144,0.0009144
81,10922.4,0.90578,0.80489,1.13573,0.83519,0.76201,0.82518,0.62719,0.91569,1.04375,1.0684,0.000888,0.000888,0.000888
82,11055.2,0.90105,0.80124,1.13631,0.83584,0.76171,0.82541,0.6272,0.91493,1.04194,1.06788,0.0008616,0.0008616,0.0008616
83,11193.9,0.898,0.7989,1.13325,0.84008,0.75803,0.8261,0.62804,0.91407,1.04144,1.06734,0.0008352,0.0008352,0.0008352
84,11328.4,0.8973,0.79896,1.13273,0.84059,0.75808,0.82603,0.62833,0.91335,1.04006,1.06695,0.0008088,0.0008088,0.0008088
85,11463.5,0.8953,0.79008,1.13121,0.83827,0.75894,0.82595,0.62834,0.91332,1.03941,1.06709,0.0007824,0.0007824,0.0007824
86,11597.1,0.89474,0.79465,1.13137,0.83912,0.76014,0.8259,0.62845,0.91265,1.0382,1.06671,0.000756,0.000756,0.000756
87,11729.4,0.89184,0.7844,1.1309,0.84045,0.76046,0.82629,0.6288,0.91231,1.03536,1.06649,0.0007296,0.0007296,0.0007296
88,11864.8,0.89247,0.79002,1.13112,0.83898,0.75998,0.82616,0.62873,0.91217,1.03286,1.06652,0.0007032,0.0007032,0.0007032
89,11997.2,0.8897,0.77837,1.12893,0.83997,0.75945,0.82619,0.62905,0.91172,1.03028,1.06629,0.0006768,0.0006768,0.0006768
90,12128.7,0.89031,0.78144,1.12977,0.8418,0.76005,0.82659,0.62909,0.91196,1.02629,1.06675,0.0006504,0.0006504,0.0006504
91,12281.7,0.80644,0.54473,1.0734,0.83999,0.76021,0.82695,0.62923,0.91168,1.02703,1.06624,0.000624,0.000624,0.000624
92,12416.1,0.79201,0.529,1.06942,0.83878,0.76129,0.82732,0.6298,0.91145,1.02699,1.06589,0.0005976,0.0005976,0.0005976
93,12549.1,0.78666,0.52084,1.06609,0.83609,0.76445,0.82806,0.63056,0.91109,1.0276,1.06535,0.0005712,0.0005712,0.0005712
94,12681.4,0.78383,0.51656,1.06366,0.83898,0.76389,0.82893,0.63091,0.91048,1.02656,1.06471,0.0005448,0.0005448,0.0005448
95,12812,0.77695,0.50834,1.05958,0.84038,0.76391,0.82967,0.63177,0.90999,1.02526,1.06441,0.0005184,0.0005184,0.0005184
96,12943.8,0.77438,0.50442,1.05796,0.8391,0.76548,0.82942,0.6322,0.90999,1.02173,1.06456,0.000492,0.000492,0.000492
97,13075.6,0.76904,0.49953,1.05501,0.84356,0.7627,0.82962,0.63224,0.90967,1.01831,1.06425,0.0004656,0.0004656,0.0004656
98,13208.7,0.76711,0.49746,1.05483,0.84291,0.76322,0.83024,0.63278,0.90912,1.01397,1.06395,0.0004392,0.0004392,0.0004392
99,13343.2,0.76379,0.49258,1.05058,0.8409,0.76629,0.83024,0.63328,0.90886,1.01129,1.06398,0.0004128,0.0004128,0.0004128
100,13474.7,0.76012,0.48802,1.05082,0.84347,0.76485,0.83042,0.63362,0.90813,1.00886,1.06364,0.0003864,0.0003864,0.0003864
